용어,내용
팔전총통,"팔전총통은 조선 초기부터 중기까지 사용되던 청동제 화기로 불씨를 손으로 점화, 발사하는 유통식(有筒式) 화기이다. 해당유물은 병기도설의 제원을 바탕으로 제작한 것이다."
쌍자총통,"쌍자총통은 조선 중기에 사용하던 개인용 소형화기(小型火器)의 일종으로 총구에 화약과 실탄을 장전, 불씨를 점화하여 발사하는 유통식(有筒式) 화기이다. 일명 쌍자승자총통 내지는 쌍승자총통이라고도 한다. ..."
각궁(통아 포함),"각궁은 우리나라 활 중에서 가장 대표적인 활이다. 쇠뿔의 장점을 최대한으로 활용하여 제작한 것으로 한국의 대나무, 물소뿔, 쇠심, 구지뽕나무, 참나무, 화피의 6가지 재료로 구성된다. 해당 유물은 통아를 포함하고 있다. 통아는 짧은 화살을 쏠 때에 화살을 담아서 활의 시위에 얹어서 쏘는 가느다란 나무통이다...."
귀도,귀도는 임진왜란 때 이순신의 뛰어난 무공이 전해지자 명나라 임금인 신종이 충무공 이순신에게 내린 8종류의 선물(팔사품:八賜品) 중의 하나이다. 대장의 위엄을 돋구기 위해 칼자루를 용과 귀신의 머리로 장식한 칼이다. 해당 유물은 충무 충렬사에 보관 중인 유물(보물 제440호)을 복제한 것이다....
편곤,편곤은 쇠를 가지고 도리깨 모양으로 만든 옛날 병장기의 하나로 유성룡 장군의 건의로 임진왜란 때 조총으로 싸운 왜군과 육박전을 할 때 사용하기 위해 만든 무기이다. 막대에 날카로운 요철을 달아서 만든 것으로 큰 타격을 줄 수 있다....
사전총통,"사전총통은 조선 초기부터 중기까지 사용되던 화기로 불씨를 손으로 점화, 발사하는 유통식(有筒式) 화기이다."
조선시대 중전,"중전은 조선시대의 대형화포인 일총통(一銃筒)에서 발사하였던 화살이다. 1447년 세종의 화약무기 대개혁 때 만들어진 나무화살이다. 원기둥형 나무화살대의 앞쪽에 쇠촉이 박혀 있고, 그 뒷부분에 가죽으로 만든 세 개의 깃을 붙인 형태이다...."
운제,"운제는 삼국시대 성을 공격할 때 여장(女墻, 성가퀴)에 거치하여 성벽을 넘기 위해 고안된 공성용 사다리이다. 구름에 닿을 만큼 높은 곳에 올라갈 수 있다 하여 붙여진 이름이다."
총통기 화차,총통기 화차는 조선시대 화차의 수레 위에 사전총통(四箭銃筒) 50개로 구성된 총통기(銃筒機)를 장착하여 다량의 화살을 발사할 수 있도록 만들어졌다. 조선 문종에 의하여 1451년 창안되었다....
수노기,"수노기는 화살을 올려놓을 수 있는 틀(노상,弩床)을 마련하여 앞부분에 활을 장착시키고 윗부분에 화살이 들어있는 통이 있고, 뒷부분에는 시위를 걸어 발사하는 무기이다. 쇠뇌의 약점인 느린 발사속도를 증가시킨 것이다...."
일총통,"일총통은 조선 초기에 사용된 대형화포의 일종으로 청동으로 제조되었다. 1448년(세종 30), 조선시대의 화약무기 대개량 때 제조된 것이며, 장군화통 다음으로 큰 포이다."
소전,"소전은 조선시대의 소형화기인 이총통에서 발사하였던 화살이다. 나무로 만든 것이며, 화살의 끝에 날개가 붙어 있는 형태이다. 이총통에서 한 번에 한개씩 발사되었다."
별대완구,완구는 불씨를 손으로 점화하여 비격진천뢰 · 단석 등의 탄환을 발사하는 화포이다. 1407년(태종 7)경 처음 만들어졌으며 그 생김새가 음식그릇과 비슷하다고 해서 이름 붙여졌다. 별대완구는 조선 후기에 개발된 것으로 보인다....
불랑기,불랑기포는 조선 중기에 제작된 서양식 청동제 화포이다. 불씨를 손으로 화약선에 점화 발사하는 화기로서 조선시대 유일하게 후장식(後裝式) 화포이다.
오연자포,오연자포는 조선 중기에 사용하던 유통식(有筒式) 화기이다. 총신 5개를 1개의 포판에 장착한 것으로 일시에 장전하여 지화식점화법(持火式點火法)에 의해서 연속적으로 사격하는 화기이다....
구포,"구포는 조선후기에 사용된 청동제 완구(碗口) 형태의 화포이다. 포신이 목제 장방형의 포가위에 완전히 고정되었으며, 다시 목제 포가에도 4면으로 고정시키는 철제 거리장치가 부착되어 있어 별도의 선박이나 성곽 내지는 수레 위에 장착시켜 사용했던 것으로 보인다...."
십연자포,십연자포는 조선 중기에 사용한 수철제(水鐵製) 유통식(有筒式) 화기이다. 열개의 포로 포미(砲尾)에 축을 만들어 나무에 결속시켜 개별적으로 뒤로 약 270˚정도 제낄수 있게 제작한 화기이다. 계속 장전과 발사를 할 수 있다....
중위원포,"중위원포는 불씨를 손으로 점화, 발사하는 유통식(有筒式) 화기이다. 대, 중, 소형으로 세가지가 있는데, 그 중에서 중형이다. 무쇠로 만들고 포구 쪽이 좁으면서 점차 약실(藥室) 쪽으로 퍼지다가 포미(砲尾)에서 마무리 진 형이다. 포미 쪽에 ‘중위원포中威遠砲’라는 글자가 양각되어 있다. ..."
총통완구,총통완구는 조선 세종 때 개발된 화기인 총통에다 돌을 넣어 발사하던 무기이다. 완구는 1407년(태종 7)경 처음 만들어졌으며 그 생김새가 음식그릇과 비슷하다고 해서 이름 붙여졌다. ...
총통완구 단석,단석은 조선 초기부터 후기에 이르기까지 완구(碗口)에 사용된 포탄의 일종이다. 재료는 화강석으로 둥글게 다듬어 완구로 발사하였고 성을 공격하거나 살상하는 용도로 사용되었다.
사전장총통,"사전장총통은 조선 세종 때 새로 개발된 우리나라의 독창적인 화약병기이다. 약통(藥筒)·격목통(激木筒)·취(觜)·모병(冒柄)의 형태로 되어 있다. 외형적인 특징은 약통과 총구 사이에 아홉 개의 마디가 있으며, 약통으로부터 첫째와 둘째마디 사이가 격목통의 위치이다...."
별승자총통,"별승자총통은 조선 선조 때 만들어 사용하던 소화기로 총구에서 화약과 실탄을 장전하고 손으로 약선에 불씨를 점화, 발사하는 유통식(有筒式) 화기이다. 1583년 니탕개(尼湯介)의 난 때 큰 몫을 하였다. 그러나 그 뒤 임진왜란 때는 왜군의 조총 때문에 그 위력을 잃었다...."
철환,"철환은 조선시대 총통류의 발사물이다. 쇠로 만든 포탄으로 총부리에 들어갈 만한 크기였다. 총통에서 발사했으며, 조선 시대 주력 포탄으로 사용되었다."
중전,"중전은 조선시대의 대형화포인 일총통에서 발사하였던 화살이다. 1447년 세종의 화약무기 대개혁 때 만들어진 나무화살로 큰 포에 넣어 사용되었다. 원기둥형 나무화살대의 앞쪽에 쇠촉이 박혀 있고, 그 뒷부분에 가죽으로 만든 세 개의 깃을 붙인 형태이다...."
차세장전,"차세장전은 조선시대의 소형화기인 사전장총통과 이총통에서 발사하였던 화살이다. 대나무 앞에 쇠촉을 붙이고, 뒷부분에는 깃을 붙인 형태이다. 사전장총통에서 한 번에 6발씩, 이총통에서 한 번에 각각 9발씩 장전하여 사용되었다...."
이총통,"이총통은 조선초기에 사용된 개인용 휴대화기로 청동으로 제조되었다. 조선 세종 때의 화약무기 대개량 때 제조된 것이며, 일종장군화통 · 일총통 다음으로 큰 것이나 손으로 들고 사용할 수 있는 총 중에서 가장 크다...."
차중전,차중전은 조선시대의 소형화기인 삼총통(三銃筒)에서 발사하였던 화살이다. 전의 중간부분에 가죽으로 만든 날개가 달려 있는 것이 특징이다.
삼총통,삼총통은 조선 초기부터 중기까지 사용한 청동제 유통식(有筒式) 화포이다. 세종조에 세총통 · 사전총통 · 팔전총통 등과 함께 만들어져 북방 경비 및 실전에 널리 활용된 바 있다. ...
주자총통,주자총통은 화약의 폭발력을 이용하여 철환이나 전을 발사하는 전장식(前裝式) 휴대용 소화기이다. 조선시대에 사용하였던 총통으로 성종대에 등장하여 임진왜란 이후까지 사용되었던 소형총통이다....
거북선,1795년(정조 19) 임진왜란 당시 전라좌수영(全羅左水營)에서 사용했던 거북선의 축소(1:2.5) 모형이다.
범선,조선 후기의 일반적인 범선(帆船)의 축소 모형(1:2.5) 이다.
병선,1776 ~ 1800년 (조선 정조) 당시 그린 것으로 추정되는 명선도본(名船圖本)에 나타난 병선(兵船)의 축소 모형(1:2.5) 이다.
대한제국 의장예도,"조선이 대한제국으로 격상된 후 황실의 의전을 위하여 제작된 고위 무관용 의장 사브르(Saber/Sabre) 이다. 이 시기의 황실용 칼과 복장(예복)은 일본을 통하여 프랑스, 독일 등에 주문 제작하여 조선으로 가져와 사용한 것이다. 예도의 병부 전체에 정교하게 조각된 태극 문양과 이화문양은 이 칼이 최 고위급 무관 계급용임을 나타내고 있다...."
돌창,"돌창은 흑요석(黑曜石), 규암(硅岩) 등으로 만든 석기시대의 창으로, 던지거나 찌르는 데 사용한 근거리 무기이다. 찌르개 및 돌화살촉과의 차이가 명확하지 않아 일반적으로 길이 약 5cm, 무게 5g 이상의 것을 돌창이라고 한다...."
바퀴날 도끼와 톱니날 도끼,도끼는 청동기시대 곤봉(棍棒) 무기의 일종으로 막대기 끝에 끼워서 내려치는 무기이다. 바퀴날도끼는 생긴 모양이 고리와 같아 환상석부(環狀石斧) 또는 달도끼라고도 한다. 톱니날 도끼는 날을 세운 환상석부의 가장자리에 돌아가면서 홈을 깊이 쳐서 둥근 톱니모양의 날을 세웠다. 다두석부(多頭石斧)라고도 한다....
돌화살촉(깬돌화살),돌화살촉은 구석기시대의 원거리 살상무기로 첨두기(尖頭器)라고도 한다. 궁시의 발명으로 사냥감을 활로 쏘아 잡을 수 있게 되고 집단을 이루지 않고 개별적인 사냥도 가능하게 되었다. 화살대를 쪼개거나 홈을 파서 끼워 사용했다고 보인다. ...
뼈화살촉,뼈화살촉은 신석기시대의 원거리 살상무기로 골각기라고도 한다. 화살의 촉 부분은 짐승의 뼈나 뿔 혹은 이빨 등으로 제작하였다. 해당 유물은 길고 가는 모양으로 침형(針形) 화살촉에 해당하며 강원도 상무용리(上舞龍里)에서 출토된 뼈화살촉을 복제한 것이다. ...
안팎날 찍개,안팎날 찍개는 1990년 경기도 연천군 전곡리에서 출토되었다. 자갈돌의 한쪽 모서리에 날을 만든 구석기시대 도구로 양면찍개 혹은 쌍날찍개라고도 한다. 외날찍개와 함께 전기 구석기부터 발견되는 대표적 석기이다. 석영암(石英岩) 자갈돌의 가장자리를 안과 밖의 지그재그형으로 떼어 날을 만든 것이다....
돌화살촉,"돌화살촉은 신석기시대의 원거리 살상무기로 구석기시대 석촉에서 보다 발전한 형태이다. 날부분을 갈아 예리하게 제작한 마제석촉(磨製石鏃)이다. 화살대와 결합하는 뿌리의 여부에 따라 유경식(有莖式)과 무경식으로 나누고, 형태에 따라 버들잎형·삼각형·능형·석침형으로 나누기도 한다...."
별모양 도끼,별모양 도끼는 청동기시대 곤봉(棍棒) 무기의 일종으로 막대기에 끼워 내려치는 무기이다. 날이 여럿으로 나뉘어 다두석부(多頭石斧) 또는 별모양으로 돌기를 가지고 있기 때문에 성형 석부(星形石斧)로도 불린다.당시의 특수한 신분층이 의장용(儀仗用)으로 썼던 것으로도 짐작된다....
청동손칼,청동손칼은 청동기시대의 작은 외날칼로 청동제손칼(靑銅刀子)이라고도 한다. 청동손칼은 청동단추(銅泡)와 더불어 청동기문화 초기의 유물로서 귀중하다. 주로 호신용 혹은 목공용 휴대칼로 이용되었을 것으로 여겨진다. 평남 개천군 용흥리(龍興里)유적 출토물을 복제한 것이다. ...
청동도끼,청동도끼는 청동기시대 내려치는 무기이자 공구이다. 도끼는 공구로 사용되기도 하였지만 전투용 무기로써도 위력을 발휘하였다. 특히 내려치는 짧은 무기(단병기)로써 도끼는 칼만큼이나 근접전의 중요한 무기로 사용되었다....
반달돌칼,반달돌칼은 청동기시대 곡식의 이삭을 베는데 쓰인 도구이다. 날부분이 대체로 곧고 다른 한쪽은 둥근 반달처럼 생겼다 하여 반달돌칼이라고 한다. 돌칼은 돌낫과 함께 주요한 수확구로서 오랫동안 사용되다가 초기철기시대에 이르러 철제반달칼과 낫 등으로 대체되었다....
꺽창,꺽창은 초기철기시대 적을 걸어 떨어뜨리거나 찍었던 무기이다. 우리나라의 꺽창은 전차전의 주요 무기로 쓰이던 중국과는 달리 보병이 기병과 싸울 때 걸어당기는 무기로 사용했다고 보기도 한다. ...
홈자귀,홈자귀는 청동기시대 나무를 깎거나 다듬는데 사용한 연모이다. 한쪽 면을 갈아 날을 세우고 날과 자루가 직각을 이루고 있다. 홈자귀는 몸체 위쪽에 홈을 만들어 끈으로 자루에 묶어 사용하였다....
화살통,화살통은 화살을 담는 용도로 사용된 통이다. 가죽끈으로 연결되어 있어서 어깨에 메고 사용한 것으로 추정된다.
간돌검,"간돌검은 청동기시대의 대표적 석기유물로 근거리 무기로 추정되며 마제석검(磨製石劍) 혹은 간돌칼이라고도 한다. 간돌검은 손잡이 부분의 형태에 따라 종류가 나뉘는데, 해당유물은 손으로 쥘 수 있는 자루부분이 있는 유병식 간돌검이다...."
옻칠한 청동검,"청동검은 청동기시대의 대표적 유물로 우리나라에서는 요녕식동검과 세형동검을 중심으로 발견되며, 그 외 중국식동검과 오르도스식동검이 있다. 해당 유물은 경남 창원 다호리에서 출토되어 국립김해박물관에 소장되고 있는 것을 복제한 것이다...."
민무늬 둥근 고리칼,"삼국시대의 고분에서 출토된 긴 칼은 대부분 손잡이 끝에 둥근 고리가 달려 있으며, 그 시대의 대표적인 살상용 무기였다. 민무늬 둥근 고리칼은 손잡이 끝에 둥근 고리가 달려 있으나 아무런 문양이 없다...."
상감 두잎 둥근고리칼,둥근고리칼(環頭大刀)은 자루의 형태가 고리형을 이룬 대도를 말한다. 자루고리 안에 장식무늬가 없는 것과 있는 것이 있다. 해당 유물은 두 개의 잎사귀 모양 장식 무늬가 있는 상감 두잎 둥근고리칼이다....
가지창,"가지창은 삼국시대의 근거리무기고 삼지창, 차(叉)라고도 한다. 도끼와 낫처럼 공구류가 전투용으로 전환된 무기이다. 3개의 가지부분이 신부(身部)를 이루고, 이것을 단조(鍛造)하여 하나의 뿌리로 만나도록 제작하였다. 창자루와의 연결은 뿌리를 그대로 자루에 꽂도록 하였다...."
세잎 둥근고리칼,둥근고리칼(環頭大刀)은 자루의 형태가 고리형을 이룬 대도를 말한다. 자루고리 안에 장식무늬가 없는 것과 있는 것이 있다. 해당 유물은 잎사귀 세 모양 장식무늬가 있는 삼엽문 환두대도이다. ...
쇠도끼,도끼는 가장 대표적인 타격무기로 시대의 발전에 따라 도끼의 재질이 돌에서 청동을 거쳐 쇠로 발전하였다. 쇠도끼는 철부(鐵斧)라고 하며 삼국시대 중요한 무기의 하나로 등장하였다.
소리화살,소리화살은 화살촉 부위에 살촉 대신에 명적을 달아 쏘면 명적에 뚫려있는 구멍이 공기의 저항을 받아 특이한 소리를 내도록 되어있다. 목표물을 향해 쏠때 소리화살을 쏘면 그 소리를 듣고 복병한 병사들이 일제히 그 곳을 향하여 화살을 쏘게 된다. ...
마갑주,"마갑주는 전투시 적의 공격으로부터 군마를 보호하기 위해 말에게 입히는 것으로 사각형 철 조각을 이어 붙여 만든 것이다. 구성은 말갑옷(말목가리개 . 말 앞가슴가리개. 말몸통가리개. 말엉덩이 가리개), 말머리 가리개, 말머리 꾸미개로 되어 있다. ..."
칠지도,칠지도는 일본 나라현 덴리시의 이소노카미 신궁(石上神宮)에 전해지고 있는 백제의 칼이다. 정련한 쇠로 만들어진 몸체 좌우에 여섯 개의 사슴뿔 모양의 가지가 엇갈려 배열되어 있다.
금은장 세잎 둥근고리칼,"삼국시대의 고분에서 출토된 긴 칼은 대부분 손잡이 끝에 둥근 고리가 달려 있으며, 그 시대의 대표적인 살상용 무기였다. 해당 유물은 세 개의 잎사귀 모양이 있는 삼엽환두대도이다."
은장 오각고리 자루칼,"삼국시대에 들어서서 칼의 모양도 파두에 특별히 신경을 써서 조각을 하였다. 규두대도는 자루머리가 산 모양으로 된 것으로 수가 적다. 은장 오각고리 자루칼은 손잡이의 윗부분이 둥글고 완만한 산모양을 이루고 있으며, 가운데에는 오각형의 고리가 달려 있다...."
쇠도끼,도끼는 가장 대표적인 타격무기로 시대의 발전에 따라 도끼의 재질이 돌에서 청동을 거쳐 쇠로 발전하였다. 쇠도끼는 철의 본격적인 사용과 더불어 무기로써 크게 활용되었고 삼국시대 중요한 무기의 하나로 등장하였다....
미늘쇠,미늘쇠는 보병이 말에 탄 기병을 끌어 떨어뜨리기 위해 사용된 무기로 유자이기(有刺利器)라고도 한다. 평면 장방형인 철판의 좌우 양 측면에 가시모양 돌기가 있고 가시모양의 돌기가 앞이나 뒤로 젖혀져 갑옷의 소찰(小札) 연결 끈이나 무장 부분에 잘 걸릴 수 있도록 만들어졌다. ...
등자,등자는 삼국시대 말에 오를 때나 말 위에서 균형을 유지하기 위해 발을 걸쳤던 안정용구이다. 해당 유물은 마사박물관 소장품을 복제한 것이다.
말재갈 2,"말재갈은 말을 부리기 위해 사용하던 제어용구이다. 해당 유물은 철제의 고삐 이음쇠가 길며 밧줄처럼 꼬아진 말재갈로, 안압지 출토 유물을 토대로 복제한 것이다."
말재갈,"말재갈은 말을 부리기 위해 사용하던 제어용구이다. 해당 유물은 철제의 고삐 이음쇠가 길며 밧줄처럼 꼬아진 말재갈로, 안압지 출토 유물을 토대로 복제한 것이다."
말안장,"말, 나귀들의 등에 얹어서 사람이 타기에 편리하도록 만든 기구이다."
말머리 가리개,적의 공격으로부터 군마(軍馬)의 머리를 보호하기 위해 입힌 말 투구로 합천 옥전 M1호분 출토된 것을 복제한 것이다. 말머리를 보호하기 위해 각 부위에 맞게 모두 6매의 철판을 재단하여 조립하였다....
고소총통,"고소총통은 고려시대 총통으로 해당 유물은 경희대학교 박물관 소장품을 복제한 것이다. 총통이란 고려 말 최무선에 의해 개발돼 조선시대에 널리 사용된 유통지화식(有筒指火式) 화기를 총칭하는 것으로, 화약을 이용해 청동이나 철로 된 통속에 화살이나 탄환을 넣어 발사하는 무기를 말한다. ..."
김성일 철퇴,철퇴는 조선시대 때 의식용으로 사용하던 무기이다. 임진왜랑 당시 김성일 의병장이 사용했던 철퇴를 복제한 것이다.
투구,투구는 적의 무기로부터 머리를 보호하기 위해 머리에 쓰던 쇠모자이다. 개성 만월대 출토 쇠투구를 복제한 것이다.
청동 화살촉,"청동 화살촉은 청동기시대의 원거리 살상무기이다. 청동기시대에 들어와 화살촉은 다양한 형태로 만들어진다. 특히 양익유경촉(兩翼有莖鏃)과 삼각추형(三角錐形), 그리고 삼각형의 살촉들이 주류를 이룬다...."
미군 M8 대검집,국방부 유해발굴감식단에서 유해와 함께 발굴한 유품으로 6.25전쟁 당시 사용한 미군 M8 대검집이다. 전면에 쓰여진 번호(M-4758)는 미군들이 사용한 표기법으로 소유자의 성 이니셜과 군번 뒤 4자리를 의미한다. ...
