용어,설명
모듈식 능동 방어 시스템 [모듈식 能動防禦 시스템],센서와 대응책을 공통 프레임워크에 통합하여 기존 및 새롭게 등장하는 위협을 탐지 및 차단함으로써 차량 및 탑승자를 보호할 수 있도록 설계된 시스템.
단위소요량증명서 발급 [單位所要量證明書 發給],국내에서 생산되는 방산물자 및 수출용 방산물자(절충 교역 포함) 또는 외주 정비 물자의 제품 단위당 실제 소요되는 자재의 양을 확인하여 증명서를 발급하는 것을 말한다.
데이터공유환경 [데이터共有環境],"공통운용환경을 위한 데이터 부분의 상호운용성 및 통합성을 위한 전략으로써, 정보체계가 데이터를 공유할 수 있도록 하는 공통의 서비스, 도구 및 절차를 말한다."
미사일 고속정 [미사일高速艇],"고속정 중 주 무장으로 대함 미사일을 장비한 함종. 4~8발의 미사일을 장비하여 공격력은 대형 구축함과 비슷하지만, 탐지 능력, 원양 작전 능력, 악천후 극복 능력, 방어력 등이 취약하기 때문에 해군력에 끼칠 수 있는 영향은 제한적이다."
품질인증사격시험 [品質認證射擊試驗],"유도탄(특수탄)이 정상적으로 발사되어 목표 표적에 유도되고, 표적을 인지하여 탄두가 폭발(명중)하는가를 확인하는 시험을 말한다."
초수평선 통합 해군 대공중 화력 [超水平線 統合海軍對空中火力],"적군의 미사일 배치를 사전에 탐지하여 공대공 미사일로 타격하는 전술. 미 해군이 E-2D형 AEW & C 정찰기, 이지스 구축함의 SM-6 및 F/A-18E/F Super Hornet 함재기 간을 연동하여 항모 킬러로 알려진 중국 순항 미사일 DF-21/26을 요격하는..."
초음속 대함 미사일 [超音速 大艦미사일],"마하(M, mach) 2~3(1마하는 약 초속 340미터이고 시속 1,224km에 해당)으로 비행하는 대함 미사일. 보통 대함 미사일은 아음속(마하 0.5~0.7 정도의 속도)인데 비해, 이 미사일은 마하 2~3으로 비행하므로 방어하는 입장에서는 요격하기가 쉽..."
큐-워리어,영국 BAE Systems에서 개발한 훈련이 아닌 실전에서 증강 현실을 사용할 수 있는 장비. 지휘소로 모인 각종 정보가 Q-워리어 시스템으로 전달되어 헬멧에 장착된 투명 디스플레이를 통해 AR의 형태로 제공되어 높은 상황 인식 능력을 부여하고 있다.
지상 전자전 로봇 [地上 電子戰 로봇],"전자전(Electronic Warfare, EW)은 상대방의 전자기 스펙트럼 또는 지향성 에너지 무기를 제어하여 스펙트럼을 통해 공격하거나 방해하는 것을 말한다. 전자전의 목적은 상대의 장점은 무력화하고 자신은 방해받지 않으면서 전자기 스펙트럼을 보장..."
절충교역 합의각서 [折衷交易 合意覺書],절충 교역과 관련하여 방위사업청과 국외 도입 물자를 계약한 국외 업체 간의 절충 교역 계약 조건과 제안 내용에 대한 합의 사항을 명시한 문서를 말한다.
장보고 삼급 잠수함 [張保皐-Ⅲ級 潛水艦],"KSS-III(장보고-III) 사업은 단계별로 진행되며, Batch-I 3척, Batch-II 3척, Batch-III 3척을 합친 총 9척의 잠수함. Batch는 동형 함정을 건조하는 묶음 단위를 뜻하며 Batch-I, Batch-II, Batch-III 등으로 진행할수록 함형 발전과 성능 개선이 이뤄진다. KS..."
원양 초계함 [遠洋哨戒艦],"바다에서 초계 임무를 수행하는 다목적 함정. ‘배타적 경제 수역(EEZ)’경비, 어업 단속, 재해 구난, 밀수 단속 등 다양한 임무를 수행하기에 적합하며 비교적 가벼운 무장을 하고 있다."
공중 조기 경보기 [空中早期警報機],"먼 거리에서 항공기, 선박 및 차량을 감지하고 전투기를 조종하여 공중 교전에서 전장의 지휘 및 통제를 수행하도록 설계된 공중 레이더 피켓 시스템."
광섬유 링크 [光纖維 링크],"두 지점(지점 간 연결) 간에 데이터 접속을 제공하는 광섬유 통신 시스템. 기본적으로 데이터 송신기, 전송 광섬유(일부 경우 내장 광섬유 증폭기 포함) 및 수신기로 구성된다."
개발주관업체 [開發主管業體],"대상 업체 중 개발 능력 및 생산 여건을 비교하여 정부가 최적격 업체로 결정한 업체로서, 지정된 무기 체계의 연구 개발 및 생산과 관련한 정부와의 계약 이행에 대한 책임이 있으며, 구성품 협력업체의 개발 및 생산을 관리하고 설계 · 시제품 제작 · 공..."
계획잔액 [計劃殘額],국방 예산 각목 명세서상에 해당년도 사업비로 편성된 사업별 계획 예산과 승인 예산의 차액을 말한다.
기술자료묶음 [技術資料묶음],군에 소요되는 장비의 품목 및 용역에 대한 기술적인 특성 및 필수 사항을 제작 · 생산 및 조달에 적합하도록 완전하고 명확하게 묘사한 기술 자료로서 규격서 · 도면 · 소프트웨어(소스코드 포함) 기술 자료 · 품질보증요구서(QAR : Quality Assurance...
국방과학기술조사서 [國防科學技術調査書],"국방 과학 기술 수준 조사를 바탕으로 국내 · 외 국방 과학 기술 수준, 주요 국가의 무기 체계 발전 추세 및 능력 및 국내 방산업체 및 산학연의 연구 개발 능력 등을 포함하는 문서로서 3년 주기로 작성하며, 핵심 기술 연구 개발 소요 제기를 위한 기초..."
함정 기본설계 [艦艇 基本設計],"함정 건조 기본 지침서(TLR)에서 제시된 요구 조건을 구체화하며, 함정의 제원 및 성능, 탑재 무기 체계 및 장비의 배치, 장비 사양, 체계 간의 연동, 상세 설계 및 함건조 계약용 도면 작성, 건조비 등을 산출하기 위한 설계로서 기본 설계 결과에 따라..."
애프터버너,터보제트 엔진의 추진력 증가 장치. 제트 엔진으로서 주로 군용 초음속 항공기에 사용되는 추가 연소 성분을 말한다.
소형 공격 드론 체계 [小型 攻擊드론 體系],"체계 종합 · 비행체 · 지상 통제 장치 · 발사 장치 등으로 구성된 지상 장비. 비행체와 지상 통제 장치 간 데이터를 송수신하는 데이터 링크, 그리고 주 임무를 수행하는 임무 장비로 구성된다. 특징으로는 초경량 복합 소재 비행체 설계, 신속 조준점 선정..."
수중 유도 무기 [水中誘導武器],"수중에서 적 수상함이나 잠수함을 공격하는 무기 체계. 잠수함, 수상함 및 항공기 등의 플랫폼으로부터 발사된 후 수중에서 유도되어 목표물을 공격한다. 자항식 기뢰, 또는 자항식 기만기와 같이 일부 특수한 무기 체계를 제외한다면 수중 유도 무기는..."
상세형규격 [詳細型規格],구매에 적용될 품목과 용역에 관한 기술적인 요구 사항과 요구 성능의 달성 방법을 구체적으로 기술한 규격을 말한다.
무변환 초음속 흡기구 [無變換 超音速 吸器具],항공기 동체에서 엔진에 들어가는 공기가 안정적이며 일괄적으로 되도록 하는 무변환 초음속 흡기구.
물가조사 [物價調査],기초금액 산정을 위한 거래 형태별 시중 가격을 조사하는 것을 말한다.
대상업체 [對象業體],군수품의 연구 개발(기술 협력 생산을 포함한다)에 참여하기 위하여 제안한 업체(연구기관을 포함한다) 중 제안 내용을 평가하여 후보로 선정된 협상 대상 업체를 말한다.
기초금액 [基礎金額],예정가격을 결정하기 위하여 가격조사 또는 원가계산 방식에 의하여 산정한 금액을 말한다.
기초연구 [基礎硏究],"핵심기술 연구 개발을위하여 필요한 가설, 이론 또는 현상이나 관찰 가능한 사실에 관한 새로운 지식을 얻기 위하여 학계에서 수행하는 이론적 또는 실험적 연구 활동을 말한다."
기초예비가격 [基礎豫備價格],기초금액을 기준으로 계약담당공무원이 복수예비가격 산정을 위하여 결정하는 가격을 말한다.
민 · 군 규격 통일화 사업 [民軍規格統一化事業],"민 · 군 규격을 통일하여 민 · 군 겸용 기술 개발 기반의 확립과 상용품 조달을 확대하는 것. 추진 전략은 민 · 군 겸용 품목으로 국방 규격 제정 지양과 국방 규격 중 민 · 군 겸용성 품목은 민수 규격으로 전환하며, 불합리하거나 과도한 군 요구 조건은 현..."
방공식별구역 [防空識別區域],"자국의 영공을 방어하기 위해 해당 국가가 일방적으로 선포한 사전 비행 통보 공역. 통상 국가 안보 목적상 자국 영공으로 접근하는 군용기를 조기에 식별하기 위해 설정한다. 이는 국제법상 인정된 방공 구역은 아니지만, 통상 이곳에 진입하는 민항기..."
폭발물 처리 로봇 [爆發物 處理 로봇],전장이나 테러 의심 지역에 설치된 폭발물을 신속하게 제거하는 로봇.
지뢰 방호 차량 [地雷 防護 車輛],즉흥적인 폭발 장치 공격 및 매복을 견딜 수 있도록 특별히 설계된 미군 경전술 차량 생산 프로그램의 일부. 미국 국방부는 이라크 전쟁 중 IED(Improvised Explosive Device)의 위협에 대한 대응으로 2007년부터 2012년까지 MRAP 프로그램으로...
장거리 전략 타격/폭격기 [長距離 戰略打擊/爆擊機],장거리 스트라이크 폭격기. 미국 공군의 장거리 전략 폭격기를 개발하는 프로그램이다. 미국의 차세대 폭격기 계획은 B-3 또는 LRS-B(Long-Range Strike-B)라고 불리며 2025년을 목표로 개발되고 있다. 현재는 기존의 B-2와 B-52 같은 전 세대의...
자료교환포맷 [資料交換포맷],"스프레드시트 프로그램(엑셀, 로터스, 멀티플랜 등) 간 자료를 주고 받을 수 있도록 표준화한 문자 파일 포맷을 말한다."
관함식 [觀艦式],군가의 원수 등이 자기 나라의 군함을 친히 검열하는 것.
C4ISR,군 작전을 효율적으로 수행하기 위하여 C4I에 감시와 정찰을 유기적으로 결합한 용어. C4ISR은 전자 통신 기술의 진보와 더불어 감시와 정찰 기술이 보다 정밀하고 다양해져 적의 상황을 먼저 보고 먼저 공격할 수 있는 감시와 정찰 기능을 C4I에 결합...
UCAV,원격 조정의 무인화 전투기. 첨단 로봇 공학과 네트워크 통신기술을 결합해 조종사를 위험에 노출시키지 않고 적 방공망 사거리 밖에서 원격 조종으로 공격 목표를 부여하면 비행 방법을 일일이 지정하지 않아도 최선책을 찾아 공격 임무를 수행한다...
UCLASS,당초 미 해군이 무인 정보 및 타격 자산을 차량에 제공하는 자율 주행 항공모함 기반 무인 전투 공중 차량을 개발하는 프로그램. 이후 이 프로그램이 주로 은밀한 폭격이나 정찰에 집중해야 하는지에 대한 논쟁 끝에 항공모함 기반의 공중 급유 시스템(...
그레이 이글,유사시 북한 정권 수뇌부 제거와 미사일 발사대 정밀 타격 등에 활용될 수 있는 미 신형 공격형 무인기.
기본불출품목 [基本拂出品目],"완성 장비를 사용 부대에 불출 시 즉각적인 운용 유지가 가능하도록 주장비에 소요되는 각종 부수 장비, 공구, 교범 등이 포함되며, 주장비와 동시에 보급되어야 할 품목을 말한다."
기술구조 [技術構造],"세부적인 요구 사항을 충족시키는 적합한 체계(Conformance System)를 보장하기 위하여 체계를 구성하는 부품 또는 요소 간의 배열(Arrangement), 상호 작용 또는 상호 독립성을 지배하는 규칙의 최초 집합을 명시한 것으로서, 표준, 규정 및 지..."
국방 중 · 장기 연구 개발 계획서 [國防中長期硏究開發計劃書],"중 · 장기 연구 개발 방향을 정립하고, 연구 개발 소요를 제기함으로써 일관성 있는 중기 연구 개발 추진 및 국방 중기 계획 수립의 기초를 제공한다. 주요 내용은 연구 개발 정책, 연구 개발 투자 분석 및 사업별 기본 계획이며, 합동 장기 군사 전략 기..."
회계처리기준 [會計處理基準],"방산업체가 제품별로 원가를 적정하게 계상하기 위하여 채택한 회계 처리의 기준, 방법, 절차 등을 사전에 정부에 신고하는 것을 말한다."
함정사업 개념설계 [艦艇事業 槪念設計],"장기 소요로 결정된 함정에 대한 선행 연구를 수행할 때 함정사업의 개념 설계를 포함하여 수행한다. 선행 연구 및 개념 설계는 최초 작전 운용 성능을 근거로 탑재 무기 체계 및 장비의 개략적 배치, 선형 등 함정의 주요 성능, 특성, 특수 성능 및 함정 종..."
한국형 미사일 방어 체계 [韓國型 미사일 防禦體系],"대한민국의 미사일 방어 체계로 10~30km의 낮은 고도에서 적의 탄도 미사일이나 항공기(전투기, 폭격기)를 공중에서 요격하는 하층(下層) 방어 체계."
아이가 작전 [아이가 作戰],"태평양 도서국의 공동체를 강화하기 위한 작전. 미국 정부가 인도 · 태평양(Indo-Pacific)이라고 일컫는 해역에서 해상 안전 및 항해의 자유가 갈수록 위협받고 있는 가운데, USCG 선박을 인도 · 태평양 지역에 배치함으로써 해당 지역에 이미 상주하고..."
수리부속 [修理部屬],"부분품, 결합체, 구성품을 통칭하여 수리부속이라 한다. 가. 부분품(part) : 한 개의 품목이 그 이상 분해될 수 없거나 또는 그 품목을 더 이상 분해하는 것이 실질적으로 불가능한 최소단위 품목을 말한다. 볼트, 너트, 와셔, 핀 등이 그 예이다. 나. 결합..."
수정작업 명령 [修正作業 命令],"장비의 수정(개조) 지시로서 사용자의 안전, 전투 및 비전투용으로서 능률 향상, 생산, 재생 및 수리의 간소화, 그리고 고가 재료 사용의 제거 등을 목적으로 하달하는 작업 명령이며, 이는 주로 장비 수정(개조) 건의나 장비 제작회사로부터의 통보를..."
무기체계 [武器體系],하나의 무기 체계가 부여된 임무 달성을 위하여 필요한 인원 · 시설 · 소프트웨어 · 종합 군수 지원 요소 · 전략 · 전술 및 훈련 등으로 성립된 전체 체계를 말한다.
미래 전투 공중 시스템 [未來戰鬪公衆시스템],혁신적인 차세대 전투기들로 이루어진 완전 자동화된 원격 항공 플랫폼.
다기능 첨단 데이터 링크 [多技能 尖端 데이터링크],"조종사들이 부여된 임무를 수행하는 데 필요한 다른 공중, 해상 및 지상 플랫폼뿐만 아니라 다른 공격 임무를 수행 중인 기체와 데이터를 공유할 수 있는 데이터 링크."
도메인,일반적으로 어떤 특정 분야의 실무자들이 이해할 수 있는 개념과 용어들로 표현될 수 있는 지식과 행동의 범위를 말함
"분배 · 배포 · 배치 [Distribution, 分配, 配布, 配置]","(1) 전투, 행군 또는 기동 등의 목적으로 부대를 배치하는 것. (2) 어떤 점의 주위에 사격한 포탄의 모양. (3) 요망하는 정면이나 종심을 엄호하기 위한 사격의 계획된 분산. (4) 명령 또는 보급품의 정식 송달. (5) 물자, 시설, 근무 지원을 분배하는 행위..."
투자사업 [投資事業],"군사력 건설과 유지에 필요한 무기, 장비 및 물자, 시설을 획득하기 위해 추진하는 사업(비)을 말한다."
트러스트 벡터링 통제 [트러스트 벡터링 統制],단거리 이착륙이 가능한 추력 방향 제어 장치. 비행기의 추력 방향을 변화시킴으로써 기존보다 짧은 비행장에서 운용이 가능하다.
패트리엇 팩삼 미사일,"일명 미사일 잡는 미사일로서 대륙 간 탄도탄 요격 능력을 가진 개량형 패트리엇 미사일. PAC-3 미사일의 개발은 로랄시스템이, PAC-3를 패트리엇 체계로 통합하는 작업은 레이시온사가 담당했다. PAC-2의 탄도탄 요격 확률은 40%대인데, PAC-3..."
진화적 획득 [進化的 獲得],"선진 획득개념의 하나로 완벽한 체계를 장기간 개발하기보다, 시차별 소요제기로 사용 가능한 체계를 조기에 개발하고 새로운 첨단기술을 체계에 적용하기 위한 것으로 점증적 개발과 나선형 개발 전략으로 구분한다."
체계구조 [體系構造],"운용구조에 의하여 제시된 정보화 소요를 충족시키기 위한 최적의 가용 기술을 적용한 결과로서, 모든 노드(컴퓨터, 단말기, 교환기 등)의 구분 및 물리적 전개(배치), 각 노드에서 운용되는 응용체계 및 데이터의 분산, 노드간의 물리적 연결성(통신망..."
전기식 포탑 구동 장치 [電氣式 砲塔 驅動裝置],피탄 시 화재 위험을 줄이고 정밀하고 빠른 구동이 가능하게 해주는 장치.
일몰제 [日沒制],군용 물자 부품의 국산화 개발 승인 기간(3년)이 지나면 자동적으로 개발 승인이 취소되는 제도를 말한다.
인가저장목록 [認可貯藏目錄],보급 지원 시설 부대에서 현 보급 운영을 지속하고 장차 예측되는 소요를 충당하기 위하여 항시 저장 유지하도록 인가된 보급품의 총 목록을 말한다.
원가심사 [原價審査],"예정 가격을 결정하기 전에 원가 산정 결과에 대하여 원가 관련 법규의 준수 및 적용의 적법성, 원가 산정 과정의 타당성 등을 검증하는 활동을 말한다."
기술이전 [技術移轉],"산업재산권의 이전, 산업재산권의 실시권 및 기술 자료의 제공 등 기술을 보유한 ‘갑’이 기술을 필요로 하는 ‘을’에게 새로운 기술을 제공하는 것을 말한다."
국제공동연구개발 [國際共同硏究開發],외국자본(외국정부 및 외국업체 자본 포함)과의 공동투자로 추진하는 연구 개발의 형태를 말한다.
형상식별서 [形狀識別書],"품목에 대하여 각 순기 단계별 기능적, 물리적 특성을 식별하여 기술한 규격서, 도면 및 부품목록 등 기술 자료를 말한다."
합동개념 [合同槪念],"합동 작전을 수행하게 될 개념을 제시해 주는 개략적인 틀로서 합동 작전 개념을 포괄하는 의미이다. 상위 개념은 합동 작전 기본 개념이며, 하위 개념은 합동 운영 개념, 합동 기능 개념 및 합동 통합 개념으로 구분한다."
합동 이동 표적 감시 통제기 [合同移動標的監視統制機],"지상 감시 및 지휘 통제에 특화된 기체. 항공 통제기, 즉 공중 조기경보기와 달리 지상 감시 및 지휘 통제에 특화된 기체라고 할 수 있다."
순 수출가격 [純 輸出價格],"순 수출가격은 기업회계기준에 따라 정한 판매가격(수출시장가격)에서 “공제항목 1, 2”(국내 순조달가격 용어정의에 있는 항목을 말한다)를 제외한 가격을 말한다."
시험개발 [試驗開發],핵심 기술 개발의 최종 단계로서 무기 체계의 주요 기능을 담당하는 핵심 기술을 실현하는 시제품을 제작하여 이를 기존 무기 체계에 적용 가능성과 미래 무기 체계에 응용 가능성을 입증하는 단계를 말한다.
수리부속품 [修理附屬品],완제품을 수리 또는 정비하기 위하여 사용되는 부품을 말한다.
수출승인서 [輸出承認書],"무역업자가 수출을 할 때 그 수출이 적법하다고 인정하는 서류로서 수출승인업무는 대외무역법상 지식경제부장관이 맡고 있으나, 주요방산물자는 방위사업법에 의거 장관의 수출허가를 받아야 한다. 수출품이 미풍양속을 해치거나 자유로운 반출이..."
상호운용성 수준 [相互運用性 水準],"절차(procedure), 응용 체계(application), 기반 구조(infrastructure), 데이터(Data)별로 상호 운용성과 관련하여 체계가 구비하여야 하는 특성 및 수준을 말한다."
선제 타격 [先制打擊],"선제 전쟁은 전쟁을 격퇴하기 위한 시도로 시작 또는 패배가 감지된 임박한 공격이나 침략, 또는 임박한 전쟁에서 전략적 우위를 확보하기 직전에 그 공격이 구체화, 선제적으로 '평화를 깨뜨리는', 전쟁."
소요요청 [所要要請],군이 임무를 수행하기 위하여 일정 기간 또는 시기에 필요하다고 지정한 군수품에 대하여 충족되어야 할 조건 등을 포함하여 소요 제기 기관에 요청하는 것을 말한다.
운송대행업체 [運送代行業體],방위사업청을 대리하여 방위사업청 계약 물자를 보급원(계약업체)에서 인수하여 최종 사업 관리 부서(기관) 창고까지 운송하는 업체를 말한다.
탄두 내장형 탄약 [彈頭內臟型 彈藥],발사체가 추진체에 의해 부분적으로 또는 완전히 둘러싸는 탄약. 기존 탄약 구조와는 달리 공간의 제약을 극복하기 위해 탄피 외부에 돌출되어 있던 탄두를 원통형의 탄피 내부에 내장시킨 원통형으로 만들어 탄약의 길이와 부피를 축소한 것이다.
운영분석평가 [運營分析評價],"신규 무기 체계 획득 시 소요군이 야전 운영을 통하여 작전 운용 성능 충족 여부를 확인하고, 전력화 지원 요소에 대한 운영 제원을 수집 · 분석 및 평가하는 활동을 말하며, 소요군이 이를 통하여 성능 개량 자료를 제출하고 도태 여부를 결정한다."
타우러스 장거리 공대지 미사일 [타우러스 長距離 空對地 미사일],"관성 항법 장치(INS)와 군용 위성 항법 장치(MIL-GPS), 그리고 영상 기반 항법 장치(IBN)와 지형 참조 항법 장치(TRN)를 조합한 트리테크(Tri-Tec)로 불리는 독특한 삼중 복합 유도 장치를 사용한 미사일."
무기체계 획득정보 [武器體系 獲得情報],"무기 체계에 대한 가격, 성능, 비용 대 효과 분석, 절충 교역, 시험 평가, 품질 보증 및 해외 업체 현황 등 무기 체계 획득을 위해 수집 · 분석 · 가공된 정보를 말한다."
테라 SAR-X(사르-엑스) [테라 合成開口레이더-X],"이미징 레이더 지구 관측 위성. 특징으로는 최대 1m의 해상도, 우수한 방사 정확도, 다른 상업용 우주 센서에 의해 타의 추종을 불허하는 기하학적 정확도, 사이트 액세스 시간 2.5일(최대 2일 95% 확률)로 지구상의 모든 지점에 도달할 수 있다."
복합 대공 화기 [複合對空火器],"포와 미사일 시스템의 강점을 극대화해 저고도 침투 표적을 요격하는 무기. 30mm 자주 대공포 비호와 휴대용 지대공 유도탄 신궁을 결합한 체계로, 우수한 추적 및 조준 능력, 신속한 기동성 등의 강점을 갖췄다."
첨단 초고주파 전술 통신 체계 [尖端 超高周波 戰術通信體系],"미국 우주군이 운영하는 일련의 통신 위성. 정지 궤도에서 여섯 개의 위성으로 구성되며, 최종 위성은 2020년 3월 26일에 발사되었다. AEHF는 이전 밀스타 시스템과 호환되며, 44GHz 업링크(EHF 대역) 및 20GHz 다운링크(SHF 대역)에서 작동한..."
범상어 어뢰 [범상어 魚雷],대한민국 해군의 21인치(533mm) 중어뢰. 범상어 어뢰는 기존의 백상어 어뢰가 35노트의 속도를 내는데 비해 무려 60노트의 속도를 낼 수 있어 적의 핵잠수함도 추적이 가능하다. 또한 백상어 어뢰에 비해 파괴력도 향상되었으며 웨이크 호밍(Wak...
방어용 탐지 레이더 [防禦用 探知레이더],추적 레이더에 비하여 장거리 감시 범위를 가진 레이더. 정밀도는 낮으나 통상 방위권 내의 외곽 표적을 조기에 탐지하여 그 표적 부근의 포대에 첩보를 전파한다.
증강 현실 안경 관측 시스템 [增强現實 眼鏡 觀測 시스템],미국의 큐빅사가 개발한 가상적인 전장 효과를 제공하는 안경 형태의 장비.
지향성 적외선 대응 체계 [指向性 赤外線 對應體系],적외선 레이저나 양자 폭포 레이저로 탐색기를 직접 교란하는 대응 체계. 항공기에 탑재하여 적의 대공 미사일에 장착된 적외선 유도 장치를 교란하는 장비이다.
최종적이고 완전히 검증된 북한 비핵화 [最終的이고 完全히 檢證된 北韓 非核化],"마이크 폼페이오 미 국무장관이 지난 2018년 7월 세 번째로 북한을 방문하기에 앞서 언급하면서 알려진 비핵화 용어. FFVD(final, fully verified denuclearization)는 영어 표기대로 '최종적이고 완전히 검증된 비핵화'를 뜻한다. '완전하고 검..."
정보융합체계 [情報融合體係],"다양한 센서로부터 얻어진 다량의 데이터를 융합 기법을 이용하여 양질의 정보를 만들고, 이들 서로의 상관 관계를 파악하여 상황 및 위협 평가를 실시하여 지휘관의 결심 지원에 필요한 자료를 제공하는 체계이다. 정보 융합 체계는 크게 필요한 정보..."
최초계약지급금 [最初契約支給金],FMS 구매에 있어서 오파 수락과 동시 미 국방성에 지급하여야 할 금액을 말한다.
절충교역가치축적 [折衷交易價値蓄積],국내 업체가 참여하여 제작한 직접 절충 교역 물량이 한국에서는 최초로 제작되는 물량을 국외 업체가 구매할 경우 절충 교역 의무액과 초과 이행한 금액을 동일 품목 차기 사업의 절충 교역 금액으로 포함시킬 수 있도록 한 것을 말한다.
절충교역양해각서 [折衷交易諒解覺書],"국외 업체와 각급 기관 또는 국외 업체와 국내 업체 간에 절충 교역과 관련하여 상호간의 권리, 의무에 관한 사항을 명시한 문서를 말한다."
절충교역제안서 [折衷交易提案書],국외 업체가 절충 교역 조건으로 제시한 이행 약정 사항 및 이행 계획 등을 명시한 문서를 말한다.
관성 항법 시스템 [慣性航法 시스템],"항공기, 미사일, 잠수함 등에 장착하여 자신의 위치를 감지하여 목적지까지 유도하기 위한 시스템. 예측 위치의 계산을 위하여 가속도와 heading 자료를 측정한다. 일반적으로 GPS(절대 위치 시스템)와 같은 유형에 관련되어 이용되며, INS는 항공 또..."
가스터빈,"연소 가스의 흐름으로부터 에너지를 추출하는 회전 동력 기관. 가스 터빈(gas turbine 또는 combustion turbine)은 압축기와 터빈, 그리고 연소실로 구성되어 있고 압축기에서 압축된 공기가 연료와 혼합되어 연소함으로써 고온 고압의 기체가 팽창하..."
CATOBAR,"항공모함의 이착륙 방식 중 하나. 항모의 함재기가 캐터펄트의 도움으로 이륙하고, 어레스팅 기어로 착륙하는 방식이다."
기술변경 [技術變更],"형상 식별서에 정의된 물품의 형상, 특성 및 기능 등의 변경 즉 설계 변경을 말하며, 기술 변경은 해당 형상 식별서의 수정을 필요로 한다."
기술시범 [技術示範],첨단 과학기술의 군사적 효용성을 평가하여 군사 능력을 향상하기 위해 적용하는 방법으로 첨단 기술 시범(ATD)과 신개념 기술 시범(ACTD) 등이 있다.
군수지원 분석용 표준소프트웨어 [軍需支援 分析用 標準소프트웨어],무기 체계의 군수 지원 분석을 위하여 국가가 개발한 도구로서 SOLOMON(Software for Logistics support analysis and data Management Of Next generation) 등을 말한다.
근접 방어 체계 [近接防禦體系],해군 구축함의 근접 방어 시스템. 구축함에 근접한 적 항공기나 대함 미사일을 요격한다.
호위함 소나 체계 [音波探知機],"능동형 음향 탐지 장비. 적의 잠수함 탐지, 추적, 식별, 그리고 적의 공격 어뢰에 대한 자동 경보 기능까지 수행한다. 다중 표적 자동 탐지 및 추적 기술, 실시간 수중 탐지 환경 예측 기술, 다중 센서 정보 융합 기술 등이 적용되어 있다."
합동군사전략 목표기획서 [合同軍事戰略 目標企劃書],"국방 목표 달성과 군사 전략 수행을 위한 중 · 장기 군사력 건설 소요, 부대 기획 소요 및 소요의 우선순위를 제시하는 문서로서 국방 획득 개발 계획 및 국방 중기 계획 수립에 필요한 근거를 제공하며, 매년 국방 정보 판단서, 국방 기본 정책서, 합동 군..."
항공기체 [航空機體],"항공기의 동체, 날개 또는 비행 제어 표면의 전부 또는 일부를 포함하여 일컫는 말."
해상 작전 헬기 [海上作戰헬機],적 함정과 잠수함을 탐지하고 탑재된 대함 및 대잠 무기를 이용하여 공격까지 수행하는 특수 헬기.
한국판 아이언돔 [韓國版 아이언돔],"북한의 장사정포 위협으로부터 수도권과 중요 핵심 시설을 방호할 수 있는 장사정포 요격 체계. 북한 장사정포는 수도권을 위협하는 강력한 재래식 무기로, 군사 분계선(MDL) 인근 북측 지역에는 1천여 문의 각종 포가 배치된 것으로 알려졌다. 이 중..."
하자보고서 [瑕疵報告書],"하자발생에 대한 발생 경위, 발생 내역, 조치 요구사항 등을 기술하는 문서이다."
스쿼드 자동 소총 [스쿼드自動小銃],"미 육군 차세대 분대 자동 소총. 기관총의 화력‧사거리, 소총의 정밀성‧인체 공학적 설계를 결합함으로써 정확성, 사거리, 살상력을 개선할 예정이다."
스텔스 능력 [스텔스能力],레이더 상에서 적을 속여 생존성을 높일 수 있도록 하는 기술. 스텔스는 적의 레이더로부터 아군의 무기 체계를 완전히 숨겨주는 것은 아니다. 그러나 레이더상에서 실제보다 훨씬 축소시켜 나타난다. 니미츠급 항공모함을 KD-2급 구축함 정도 크기로...
시제업체 [試製業體],"국과연 주관 연구 개발을 수행함에 있어서 시제품을 제작 · 생산하기 위하여 선정된 업체로서 체계 분야 및 구성품 등의 시제품 제작, 공정 설정 및 기술 자료 등의 책임을 진다."
수정작업 [修正作業],"장비 사용자의 안전, 전투 또는 비전투 시 장비의 능률 향상, 생산 재생 및 수리의 간소화와 고가 재료 사용 제거 등을 목적으로 장비의 수정(개조)이 필요할 때, 승인권자의 승인을 얻어 수정(개조) 작업 명령을 하달하고 장비의 설계를 수정(개조)하는 것..."
외자도입 [外資導入],"정부나 공공단체, 사업체 등이 자본이 부족한 경우 외국차관을 들여오거나 또는 외국자본을 국내 산업에 투자하는 것을 말한다."
모든 폭탄의 아버지 [모든 爆彈의 아버지],러시아가 미국의 MOAB(모든 폭탄의 어머니)에 대응하여 만든 소형 핵폭탄급 폭발력을 가진 재래식 초대형 폭탄이다. 모든 폭탄의 아버지(FOAB: Father Of All Bombs)라는 이름을 붙였다.
돌고래급 잠수정 [돌고래級 潛水艇],"대한민국 해군 특수전 여단의 침투용 잠수정. 이탈리아의 코스모스급 잠수정을 모방한 것이며, 타코마코리아에서 건조하여 1983년부터 총 3척이 취역하였다. 돌고래급 잠수정은 잠수 특전 요원을 적진으로 침투시키기 위해 개발되었으며, 야간 작..."
통합시험 [統合試驗],개발시험과 운용시험 간 공통적 시험 항목과 내용을 통합하여 하나의 시험계획에 반영하여 수행하는 시험(시험결과에 대한 분석과 평가는 각각의 기관에서 별도 실시)
